date,product,product_en,price,cups
2026-08-09,手冲瑰夏,Pour-over Geisha,68,1
2026-08-10,珍珠奶茶,Pearl Milk Tea,15,13
2026-08-10,杨枝甘露,Mango Pomelo Sago,22,10
2026-08-10,芝士葡萄,Cheese Grape,24,7
2026-08-10,黑糖波波,Brown Sugar Boba,18,9
2026-08-10,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,7
2026-08-10,香菜柠檬茶,Cilantro Lemon Tea,16,2
2026-08-10,手冲瑰夏,Pour-over Geisha,68,1
2026-08-11,珍珠奶茶,Pearl Milk Tea,15,12
2026-08-11,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-11,芝士葡萄,Cheese Grape,24,8
2026-08-11,黑糖波波,Brown Sugar Boba,18,10
2026-08-11,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,7
2026-08-11,香菜柠檬茶,Cilantro Lemon Tea,16,2
2026-08-11,手冲瑰夏,Pour-over Geisha,68,1
2026-08-12,珍珠奶茶,Pearl Milk Tea,15,14
2026-08-12,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-12,芝士葡萄,Cheese Grape,24,7
2026-08-12,黑糖波波,Brown Sugar Boba,18,11
2026-08-12,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,7
2026-08-12,香菜柠檬茶,Cilantro Lemon Tea,16,2
2026-08-12,手冲瑰夏,Pour-over Geisha,68,1
2026-08-13,珍珠奶茶,Pearl Milk Tea,15,12
2026-08-13,杨枝甘露,Mango Pomelo Sago,22,10
2026-08-13,芝士葡萄,Cheese Grape,24,8
2026-08-13,黑糖波波,Brown Sugar Boba,18,11
2026-08-13,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,7
2026-08-13,香菜柠檬茶,Cilantro Lemon Tea,16,2
2026-08-13,手冲瑰夏,Pour-over Geisha,68,1
2026-08-14,珍珠奶茶,Pearl Milk Tea,15,15
2026-08-14,杨枝甘露,Mango Pomelo Sago,22,8
2026-08-14,芝士葡萄,Cheese Grape,24,7
2026-08-14,黑糖波波,Brown Sugar Boba,18,9
2026-08-14,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,6
2026-08-14,香菜柠檬茶,Cilantro Lemon Tea,16,2
2026-08-14,手冲瑰夏,Pour-over Geisha,68,1
2026-08-15,珍珠奶茶,Pearl Milk Tea,15,17
2026-08-15,杨枝甘露,Mango Pomelo Sago,22,11
2026-08-15,芝士葡萄,Cheese Grape,24,10
2026-08-15,黑糖波波,Brown Sugar Boba,18,15
2026-08-15,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,8
2026-08-15,香菜柠檬茶,Cilantro Lemon Tea,16,3
2026-08-15,手冲瑰夏,Pour-over Geisha,68,1
2026-08-16,珍珠奶茶,Pearl Milk Tea,15,21
2026-08-16,杨枝甘露,Mango Pomelo Sago,22,13
2026-08-16,芝士葡萄,Cheese Grape,24,11
2026-08-16,黑糖波波,Brown Sugar Boba,18,12
2026-08-16,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,9
2026-08-16,香菜柠檬茶,Cilantro Lemon Tea,16,3
2026-08-16,手冲瑰夏,Pour-over Geisha,68,2
2026-08-17,珍珠奶茶,Pearl Milk Tea,15,17
2026-08-17,杨枝甘露,Mango Pomelo Sago,22,8
2026-08-17,芝士葡萄,Cheese Grape,24,7
2026-08-17,黑糖波波,Brown Sugar Boba,18,9
2026-08-17,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,7
2026-08-17,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-17,手冲瑰夏,Pour-over Geisha,68,1
2026-08-18,珍珠奶茶,Pearl Milk Tea,15,14
2026-08-18,杨枝甘露,Mango Pomelo Sago,22,7
2026-08-18,芝士葡萄,Cheese Grape,24,8
2026-08-18,黑糖波波,Brown Sugar Boba,18,10
2026-08-18,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,8
2026-08-18,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-18,手冲瑰夏,Pour-over Geisha,68,1
2026-08-19,珍珠奶茶,Pearl Milk Tea,15,15
2026-08-19,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-19,芝士葡萄,Cheese Grape,24,8
2026-08-19,黑糖波波,Brown Sugar Boba,18,9
2026-08-19,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,8
2026-08-19,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-19,手冲瑰夏,Pour-over Geisha,68,1
2026-08-20,珍珠奶茶,Pearl Milk Tea,15,16
2026-08-20,杨枝甘露,Mango Pomelo Sago,22,8
2026-08-20,芝士葡萄,Cheese Grape,24,8
2026-08-20,黑糖波波,Brown Sugar Boba,18,9
2026-08-20,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,8
2026-08-20,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-20,手冲瑰夏,Pour-over Geisha,68,1
2026-08-21,珍珠奶茶,Pearl Milk Tea,15,13
2026-08-21,杨枝甘露,Mango Pomelo Sago,22,8
2026-08-21,芝士葡萄,Cheese Grape,24,7
2026-08-21,黑糖波波,Brown Sugar Boba,18,9
2026-08-21,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,6
2026-08-21,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-21,手冲瑰夏,Pour-over Geisha,68,1
2026-08-22,珍珠奶茶,Pearl Milk Tea,15,19
2026-08-22,杨枝甘露,Mango Pomelo Sago,22,10
2026-08-22,芝士葡萄,Cheese Grape,24,12
2026-08-22,黑糖波波,Brown Sugar Boba,18,14
2026-08-22,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,9
2026-08-22,香菜柠檬茶,Cilantro Lemon Tea,16,2
2026-08-22,手冲瑰夏,Pour-over Geisha,68,1
2026-08-23,珍珠奶茶,Pearl Milk Tea,15,19
2026-08-23,杨枝甘露,Mango Pomelo Sago,22,10
2026-08-23,芝士葡萄,Cheese Grape,24,12
2026-08-23,黑糖波波,Brown Sugar Boba,18,16
2026-08-23,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,10
2026-08-23,香菜柠檬茶,Cilantro Lemon Tea,16,2
2026-08-23,手冲瑰夏,Pour-over Geisha,68,1
2026-08-24,珍珠奶茶,Pearl Milk Tea,15,13
2026-08-24,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-24,芝士葡萄,Cheese Grape,24,8
2026-08-24,黑糖波波,Brown Sugar Boba,18,11
2026-08-24,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,8
2026-08-24,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-24,手冲瑰夏,Pour-over Geisha,68,1
2026-08-25,珍珠奶茶,Pearl Milk Tea,15,15
2026-08-25,杨枝甘露,Mango Pomelo Sago,22,8
2026-08-25,芝士葡萄,Cheese Grape,24,9
2026-08-25,黑糖波波,Brown Sugar Boba,18,8
2026-08-25,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,9
2026-08-25,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-25,手冲瑰夏,Pour-over Geisha,68,1
2026-08-26,珍珠奶茶,Pearl Milk Tea,15,16
2026-08-26,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-26,芝士葡萄,Cheese Grape,24,8
2026-08-26,黑糖波波,Brown Sugar Boba,18,9
2026-08-26,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,9
2026-08-26,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-26,手冲瑰夏,Pour-over Geisha,68,1
2026-08-27,珍珠奶茶,Pearl Milk Tea,15,14
2026-08-27,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-27,芝士葡萄,Cheese Grape,24,9
2026-08-27,黑糖波波,Brown Sugar Boba,18,11
2026-08-27,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,10
2026-08-27,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-27,手冲瑰夏,Pour-over Geisha,68,1
2026-08-28,珍珠奶茶,Pearl Milk Tea,15,16
2026-08-28,杨枝甘露,Mango Pomelo Sago,22,9
2026-08-28,芝士葡萄,Cheese Grape,24,8
2026-08-28,黑糖波波,Brown Sugar Boba,18,9
2026-08-28,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,7
2026-08-28,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-28,手冲瑰夏,Pour-over Geisha,68,1
2026-08-29,珍珠奶茶,Pearl Milk Tea,15,19
2026-08-29,杨枝甘露,Mango Pomelo Sago,22,13
2026-08-29,芝士葡萄,Cheese Grape,24,13
2026-08-29,黑糖波波,Brown Sugar Boba,18,13
2026-08-29,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,13
2026-08-29,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-29,手冲瑰夏,Pour-over Geisha,68,2
2026-08-30,珍珠奶茶,Pearl Milk Tea,15,19
2026-08-30,杨枝甘露,Mango Pomelo Sago,22,12
2026-08-30,芝士葡萄,Cheese Grape,24,10
2026-08-30,黑糖波波,Brown Sugar Boba,18,12
2026-08-30,鸭屎香柠檬茶,Duck-Shit Oolong Lemon Tea,16,11
2026-08-30,香菜柠檬茶,Cilantro Lemon Tea,16,1
2026-08-30,手冲瑰夏,Pour-over Geisha,68,2
